Your Estimate
Service Type,Components,Region,Component Price,Service Price
Amazon EC2 Service (US East (N. Virginia)),,,,$1372.66
,Compute:,US East (N. Virginia),$1162.46
,Intra-Region Data Transfer:,US East (N. Virginia),$1
,EBS Volumes:,US East (N. Virginia),$200
,EBS Throughput:,US East (N. Virginia),$0
,Elastic IPs:,US East (N. Virginia),$7.2
,Inter-Region Data Transfer Out:,US East (N. Virginia),$2
AWS Data Transfer In,,,,$0
,US East (N. Virginia) Region:,Global,$0
AWS Data Transfer Out,,,,$8.91
,US East (N. Virginia) Region:,Global,$8.91
AWS Support (Business),,,,$137.89
,Support for all AWS services:,,$137.89
,,Free Tier Discount:,,$-2.76
,,Total Monthly Payment:,,$1516.7
